"Word","Translation"
"<a href=""%s"" class=""uibutton"">Start Sending Now</a><br/>Click the above button to start sending now (rather than wait for it to be processed in the background by the CRON job).","<a href=""%s"" class=""uibutton"">Start Sending Now</a><br/>Click the above button to start sending now (rather than wait for it to be processed in the background by the CRON job)."
"<a href=""%s"" target=""_blank"">Click here</a> to see how to add a URL to your Google Calendar. You can choose which calendars to import below:","<a href=""%s"" target=""_blank"">Click here</a> to see how to add a URL to your Google Calendar. You can choose which calendars to import below:"
"<em>New:</em> Please <a href=""%s"" target=""_blank"">click here</a> to view the HTML invoice (this HTML page can be ""Printed to PDF"" using <a href=""http://www.primopdf.com/"" target=""_blank"">PrimoPDF</a> for better results).","<em>New:</em> Please <a href=""%s"" target=""_blank"">click here</a> to view the HTML invoice (this HTML page can be ""Printed to PDF"" using <a href=""http://www.primopdf.com/"" target=""_blank"">PrimoPDF</a> for better results)."
"<p>This newsletter has already been sent out <strong>%s</strong> times:</p>%s<p>Please press the <strong>duplicate</strong> button at the bottom to create a new newsletter based on this newsletter. You can also re-send this newsletter to a new group of people below if you want.</p>","<p>This newsletter has already been sent out <strong>%s</strong> times:</p>%s<p>Please press the <strong>duplicate</strong> button at the bottom to create a new newsletter based on this newsletter. You can also re-send this newsletter to a new group of people below if you want.</p>"
"<strong>%s</strong> of %s changes remaining","<strong>%s</strong> of %s changes remaining"
"A comma separated list of currencies to support, eg: AUD,USD Leave this blank to support all currencies. If an invoice is in an unsupported currency then this payment method will not display.","A comma separated list of currencies to support, eg: AUD,USD Leave this blank to support all currencies. If an invoice is in an unsupported currency then this payment method will not display."
"A Credit Note has been generated against this cancelled invoice: ","A Credit Note has been generated against this cancelled invoice: "
"A Credit Note has been generated against this cancelled invoice: %s","A Credit Note has been generated against this cancelled invoice: %s"
"A staff member is someone who can be assigned to a Job, Job Task or Customer. ","A staff member is someone who can be assigned to a Job, Job Task or Customer. "
"Accepted Date","Accepted Date"
"Accepted:","Accepted:"
"Account","Account"
"Account Name","Account Name"
"Account:","Account:"
"Action","Action"
"Active Timers","Active Timers"
"Add","Add"
"Add all these results to a group:","Add all these results to a group:"
"Add Attachment","Add Attachment"
"Add CC/BCC","Add CC/BCC"
"Add Comment","Add Comment"
"Add imported records to group:","Add imported records to group:"
"Add Item","Add Item"
"Add missing words from CSV into Database","Add missing words from CSV into Database"
"Add More Recipients","Add More Recipients"
"Add More Recipients (currently %s recipients): %s","Add More Recipients (currently %s recipients): %s"
"Add More Recipients (currently 4 recipients): unsub test 5","Add More Recipients (currently 4 recipients): unsub test 5"
"Add New","Add New"
"Add New Account","Add New Account"
"Add New Contact","Add New Contact"
"Add New Facebook Account","Add New Facebook Account"
"Add New FAQ","Add New FAQ"
"Add New Field","Add New Field"
"Add New File","Add New File"
"Add New file","Add New file"
"Add New Item Version","Add New Item Version"
"Add New job","Add New job"
"Add New Job","Add New Job"
"Add New Language","Add New Language"
"Add New newsletter","Add New newsletter"
"Add New Note","Add New Note"
"Add New Product","Add New Product"
"Add New Quote","Add New Quote"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New ticket","Add New ticket"
"Add New Ticket","Add New Ticket"
"Add New Twitter Account","Add New Twitter Account"
"Add New Type","Add New Type"
"Add new user","Add new user"
"Add New Website","Add New Website"
"Add New WordPress Item","Add New WordPress Item"
"Add payment","Add payment"
"add success","add success"
"Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times).","Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times)."
"Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times). <br><br> Or paste this code into the browser console for testing: <br><br>%s","Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times). <br><br> Or paste this code into the browser console for testing: <br><br>%s"
"Add to group","Add to group"
"Add your own custom CSS code here and it will be included in all pages of the website. You may have to clear your browser cache in order to see these changes. This code is added to the ""ext.php?m=theme&amp;h=css"" file if you are looking at the page source code.","Add your own custom CSS code here and it will be included in all pages of the website. You may have to clear your browser cache in order to see these changes. This code is added to the ""ext.php?m=theme&amp;h=css"" file if you are looking at the page source code."
"Additional Fields","Additional Fields"
"Address","Address"
"Address:","Address:"
"Admin System","Admin System"
"Advanced","Advanced"
"Advanced Configuration area below. This contains every configurable value in the system. Change at own risk :)","Advanced Configuration area below. This contains every configurable value in the system. Change at own risk :)"
"after","after"
"After printing is complete you can <a href=""%s"">click here</a> return to invoice %s","After printing is complete you can <a href=""%s"">click here</a> return to invoice %s"
"After Tax","After Tax"
"Alert Item: %s","Alert Item: %s"
"Alerts","Alerts"
"All","All"
"All Customer Contacts","All Customer Contacts"
"All Customer Notes","All Customer Notes"
"All day event","All day event"
"All Day Event","All Day Event"
"All Lead Notes","All Lead Notes"
"All paid","All paid"
"All Permissions","All Permissions"
"All sent","All sent"
"All Staff","All Staff"
"All Time","All Time"
"Allocated Customers","Allocated Customers"
"Allocated Members","Allocated Members"
"Allow change requests. This SUPER COOL feature allows your customer to highlight something on their website and request a change. The ""change request"" will come through here and you can invoice for that change.","Allow change requests. This SUPER COOL feature allows your customer to highlight something on their website and request a change. The ""change request"" will come through here and you can invoice for that change."
"Allow Update of Existing Customer Entries","Allow Update of Existing Customer Entries"
"Allowed","Allowed"
"Allowed Payments","Allowed Payments"
"Also delete all Customer %s, Jobs, Invoices, Tickets and Files","Also delete all Customer %s, Jobs, Invoices, Tickets and Files"
"Also delete all Customer Websites, Jobs, Invoices, Tickets and Files","Also delete all Customer Websites, Jobs, Invoices, Tickets and Files"
"Always Create New Customer Entries","Always Create New Customer Entries"
"am","am"
"AM","AM"
"Amount","Amount"
"Amount Billed","Amount Billed"
"Amount Due","Amount Due"
"Amount Invoiced","Amount Invoiced"
"Amount Invoiced for 05/26/2014 to 06/02/2014","Amount Invoiced for 05/26/2014 to 06/02/2014"
"Amount Invoiced for 06/09/2014 to 06/16/2014","Amount Invoiced for 06/09/2014 to 06/16/2014"
"Amount Invoiced for 06/16/2014 to 06/23/2014","Amount Invoiced for 06/16/2014 to 06/23/2014"
"Amount Invoiced for 30/01/2012 to 06/02/2012","Amount Invoiced for 30/01/2012 to 06/02/2012"
"Amount Only","Amount Only"
"Amount:","Amount:"
"Answer","Answer"
"Apply","Apply"
"Apply %s credit to this invoice","Apply %s credit to this invoice"
"Apply %s deposit to this invoice","Apply %s deposit to this invoice"
"Apply Previous Deposit","Apply Previous Deposit"
"Approval","Approval"
"Approve this Quote","Approve this Quote"
"Approved By","Approved By"
"Approved Date","Approved Date"
"Apr","Apr"
"April","April"
"Are You Sure to Delete this Event","Are You Sure to Delete this Event"
"Assign a staff member to this calendar event. Click the plus sign to add more staff members.","Assign a staff member to this calendar event. Click the plus sign to add more staff members."
"Assign a staff member to this customer. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these customers.","Assign a staff member to this customer. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these customers."
"Assign a staff member to this file. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these files.<br><br>If there are assigned staff members then those members will be the only ones to receive notifications when a change is made to the file. If no staff are assigned to this file then anyone with the ""Receive Alerts"" permission will receive file change/comment alerts.","Assign a staff member to this file. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these files.<br><br>If there are assigned staff members then those members will be the only ones to receive notifications when a change is made to the file. If no staff are assigned to this file then anyone with the ""Receive Alerts"" permission will receive file change/comment alerts."
"Assign a staff member to this job. You can also assign individual tasks to different staff members.","Assign a staff member to this job. You can also assign individual tasks to different staff members."
"Assign a staff member to this job. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Job Tasks.","Assign a staff member to this job. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Job Tasks."
"Assign a staff member to this quote. You can also assign individual tasks to different staff members.","Assign a staff member to this quote. You can also assign individual tasks to different staff members."
"Assign a staff member to this quote. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Quote Tasks.","Assign a staff member to this quote. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Quote Tasks."
"Assign Customer","Assign Customer"
"Assign Quote","Assign Quote"
"Assign Website","Assign Website"
"Assigned Contact","Assigned Contact"
"Assigned Jobs","Assigned Jobs"
"Assigned Staff","Assigned Staff"
"Assigned Tasks","Assigned Tasks"
"Assigned User","Assigned User"
"Attachment","Attachment"
"Attachment:","Attachment:"
"Attachments will be sent out with emails. This will use a LOT of your bandwidth! (eg: a 1MB PDF sent to 1000 people = 1GB)","Attachments will be sent out with emails. This will use a LOT of your bandwidth! (eg: a 1MB PDF sent to 1000 people = 1GB)"
"Attachments:","Attachments:"
"Aug","Aug"
"August","August"
"Author:","Author:"
"Authorize","Authorize"
"Authorize Settings","Authorize Settings"
"Authorize setup instructions:","Authorize setup instructions:"
"Authorize.net","Authorize.net"
"Auto Login Link","Auto Login Link"
"Auto Overdue Email","Auto Overdue Email"
"Automatic","Automatic"
"Automatic Email","Automatic Email"
"Automatic Invoice","Automatic Invoice"
"Automatic Invoice Renewal Pending","Automatic Invoice Renewal Pending"
"Automatic Job Renewal Pending","Automatic Job Renewal Pending"
"Automatic Renew","Automatic Renew"
"Automatically Email","Automatically Email"
"Automatically Invoice","Automatically Invoice"
"Automatically Renew","Automatically Renew"
"Automatically Renewing invoice for %s","Automatically Renewing invoice for %s"
"Automatically send the invoice receipt to the customer once the invoice is marked as paid. If this is disabled you will have to go into the invoice and manually send it after payment is received.","Automatically send the invoice receipt to the customer once the invoice is marked as paid. If this is disabled you will have to go into the invoice and manually send it after payment is received."
"Available to","Available to"
"Back / Cancel","Back / Cancel"
"Back to Statistics","Back to Statistics"
"Balance","Balance"
"Bank","Bank"
"Bank Transfer","Bank Transfer"
"Bank Transfer Settings","Bank Transfer Settings"
"Bank Transfer Templates","Bank Transfer Templates"
"Basic System Settings","Basic System Settings"
"BCC:","BCC:"
"Be sure to set the paypal IPN url to http://ultimateclientmanager.com/demo/ext.php?m=paymethod_paypal&h=ipn&method=paypal in your paypal account settings.","Be sure to set the paypal IPN url to http://ultimateclientmanager.com/demo/ext.php?m=paymethod_paypal&h=ipn&method=paypal in your paypal account settings."
"before","before"
"Before Tax","Before Tax"
"Both Accepted and Un-Accepted Quotes","Both Accepted and Un-Accepted Quotes"
"Both Completed and Non-Completed Jobs","Both Completed and Non-Completed Jobs"
"Bounce Checking","Bounce Checking"
"Bounce Email","Bounce Email"
"Bounced","Bounced"
"Bounces","Bounces"
"Browser Preview","Browser Preview"
"Building Name","Building Name"
"Building Number","Building Number"
"Bulk Actions","Bulk Actions"
"Bulk actions:","Bulk actions:"
"Business","Business"
"Business Name","Business Name"
"Calendar","Calendar"
"Calendar Event","Calendar Event"
"Can Login","Can Login"
"Cancel","Cancel"
"Cancel Date","Cancel Date"
"Canceled","Canceled"
"Cancelled","Cancelled"
"Caption to use instead of the automatically generated one from the Link page","Caption to use instead of the automatically generated one from the Link page"
"carshop","carshop"
"Categories","Categories"
"Category","Category"
"Category Name","Category Name"
"Category:","Category:"
"CC:","CC:"
"CEF","CEF"
"Change Assigned:","Change Assigned:"
"Change Customer","Change Customer"
"Change Password","Change Password"
"Change Request","Change Request"
"Change request","Change request"
"Change Request Settings","Change Request Settings"
"Change status %s to:","Change status %s to:"
"Change status to Resolved","Change status to Resolved"
"Change status:","Change status:"
"Change success","Change success"
"Change Ticket Status","Change Ticket Status"
"changes remaining","changes remaining"
"Changing a customer will also change all the current linked jobs and invoices across to this new customer.","Changing a customer will also change all the current linked jobs and invoices across to this new customer."
"Changing some settings is disabled in DEMO mode.","Changing some settings is disabled in DEMO mode."
"Check for Updates","Check for Updates"
"Check for Upgrades","Check for Upgrades"
"Check login","Check login"
"Choose a different PDF library if you notice PDF generation is not working or is slow. mPDF is the better option but may not display some things correctly.","Choose a different PDF library if you notice PDF generation is not working or is slow. mPDF is the better option but may not display some things correctly."
"Choose a name for this account. This name will be shown here in the system.","Choose a name for this account. This name will be shown here in the system."
"Choose Passphrase:","Choose Passphrase:"
"Choose Template","Choose Template"
"Choose the default template for PDF printing and PDF emailing. Name your custom templates invoice_print_SOMETHING for them to appear in this listing.","Choose the default template for PDF printing and PDF emailing. Name your custom templates invoice_print_SOMETHING for them to appear in this listing."
"Click the ""record"" button once an transaction has been completed, this will schedule the next reminder.","Click the ""record"" button once an transaction has been completed, this will schedule the next reminder."
"Click this button to email the invoice to the customer from the system","Click this button to email the invoice to the customer from the system"
"Click this link to check the application can login to envato currectly. You may need to enter recaptcha code.","Click this link to check the application can login to envato currectly. You may need to enter recaptcha code."
"Click this link to delete the envato cache and statement history and perform a FULL refresh. (this may take a long time)","Click this link to delete the envato cache and statement history and perform a FULL refresh. (this may take a long time)"
"Click this link to refresh your item listing (if you have released a new item)","Click this link to refresh your item listing (if you have released a new item)"
"Click to add a comment","Click to add a comment"
"Click to the view of current date","Click to the view of current date"
"Click to view external link","Click to view external link"
"Clicks","Clicks"
"Clicks By","Clicks By"
"Close","Close"
"Code","Code"
"Coinbase (bitcoin)","Coinbase (bitcoin)"
"Coinbase only supports subscriptions that are: daily, weekly, every_two_weeks, monthly, quarterly, and yearly. So your invoice/subscription renewals will have to match these in order to work.","Coinbase only supports subscriptions that are: daily, weekly, every_two_weeks, monthly, quarterly, and yearly. So your invoice/subscription renewals will have to match these in order to work."
"Coinbase Settings","Coinbase Settings"
"Coinbase setup instructions:","Coinbase setup instructions:"
"Combine transactions together. eg: an invoice payment history with corresponding bank statement transaction. Transactions need to be the same dollar amount to link successfully.","Combine transactions together. eg: an invoice payment history with corresponding bank statement transaction. Transactions need to be the same dollar amount to link successfully."
"Company","Company"
"company deleted successfully","company deleted successfully"
"Company Details","Company Details"
"Company Name","Company Name"
"Complete","Complete"
"complete","complete"
"Completed","Completed"
"Completed Date","Completed Date"
"Completed:","Completed:"
"Completed?","Completed?"
"Compose","Compose"
"Compose Message","Compose Message"
"Compose Post","Compose Post"
"Compose Tweet","Compose Tweet"
"Configuration Key","Configuration Key"
"Configuration saved successfully","Configuration saved successfully"
"Configuration Value","Configuration Value"
"Confirm Delete","Confirm Delete"
"Contact","Contact"
"Contact deleted successfully","Contact deleted successfully"
"Contact Details","Contact Details"
"Contact Groups","Contact Groups"
"Contact Name, Email or Phone Number:","Contact Name, Email or Phone Number:"
"Contact Notes","Contact Notes"
"Contact:","Contact:"
"Contact: %s","Contact: %s"
"Contacts","Contacts"
"Contacts <span class='label label-info'>1</span> ","Contacts <span class='label label-info'>1</span> "
"Contacts <span class='label label-info'>2</span> ","Contacts <span class='label label-info'>2</span> "
"Contacts <span class='label label-info'>3</span> ","Contacts <span class='label label-info'>3</span> "
"Contacts <span class='label label-info'>4</span> ","Contacts <span class='label label-info'>4</span> "
"Contacts <span class='menu_label'>1</span> ","Contacts <span class='menu_label'>1</span> "
"Contacts <span class='menu_label'>2</span> ","Contacts <span class='menu_label'>2</span> "
"Contacts <span class='menu_label'>3</span> ","Contacts <span class='menu_label'>3</span> "
"Contacts <span class='menu_label'>4</span> ","Contacts <span class='menu_label'>4</span> "
"Content Area Title","Content Area Title"
"Content Areas:","Content Areas:"
"Convert this Quote into a Job","Convert this Quote into a Job"
"Country","Country"
"County","County"
"Create","Create"
"Create %s Invoice","Create %s Invoice"
"Create a new customer and move this ""Assigned Contact"" to this new customer.","Create a new customer and move this ""Assigned Contact"" to this new customer."
"Create Date","Create Date"
"Create Date:","Create Date:"
"Create Deposit Invoice","Create Deposit Invoice"
"Create event","Create event"
"Create Invoice","Create Invoice"
"Create invoice for %s","Create invoice for %s"
"Create Linked Contacts","Create Linked Contacts"
"Create New","Create New"
"Create New Calendar Event","Create New Calendar Event"
"Create New carshop","Create New carshop"
"Create New Category","Create New Category"
"Create New CEF","Create New CEF"
"Create New Custom checking","Create New Custom checking"
"Create New Custom Data","Create New Custom Data"
"Create New Customer","Create New Customer"
"Create New Deals","Create New Deals"
"Create New Domain","Create New Domain"
"Create New Domain name","Create New Domain name"
"Create New Event","Create New Event"
"Create New Field","Create New Field"
"Create New Fieldset","Create New Fieldset"
"Create New File","Create New File"
"Create New Help","Create New Help"
"Create New I D document","Create New I D document"
"Create New Invoice","Create New Invoice"
"Create New Kitchen Type","Create New Kitchen Type"
"Create New landlords","Create New landlords"
"Create New Lead","Create New Lead"
"Create New Marketing","Create New Marketing"
"Create New Member","Create New Member"
"Create New MyAssets","Create New MyAssets"
"Create New Package","Create New Package"
"Create New Product","Create New Product"
"Create New Product Management","Create New Product Management"
"Create New Quotes New","Create New Quotes New"
"Create New Reg","Create New Reg"
"Create New Size","Create New Size"
"Create New Subscription","Create New Subscription"
"Create New Vault","Create New Vault"
"Create New VC Membership Number","Create New VC Membership Number"
"Create New zenon","Create New zenon"
"Create Newsletter","Create Newsletter"
"Create transaction","Create transaction"
"Created by:","Created by:"
"Created Date","Created Date"
"Created on:","Created on:"
"Created successfully!","Created successfully!"
"Creator","Creator"
"Credit","Credit"
"Credit Card","Credit Card"
"Credit from customer %s","Credit from customer %s"
"Credit Note #","Credit Note #"
"Credit Note items","Credit Note items"
"Credit Note Notes","Credit Note Notes"
"Credit: %s","Credit: %s"
"CRON Job Not Setup","CRON Job Not Setup"
"CSS Property","CSS Property"
"Currency","Currency"
"Currency deleted successfully","Currency deleted successfully"
"Currency saved successfully","Currency saved successfully"
"Current server time is %s","Current server time is %s"
"Current status","Current status"
"CURRENTLY SENDING","CURRENTLY SENDING"
"Currently sending (waiting from CRON job)","Currently sending (waiting from CRON job)"
"Currently: %s","Currently: %s"
"Custom checking","Custom checking"
"Custom Data","Custom Data"
"Customer","Customer"
"Customer Change Requests","Customer Change Requests"
"Customer Contact: ","Customer Contact: "
"Customer Contacts","Customer Contacts"
"Customer Count","Customer Count"
"Customer Credit Available","Customer Credit Available"
"Customer deleted successfully","Customer deleted successfully"
"Customer Emails","Customer Emails"
"Customer files","Customer files"
"Customer Files","Customer Files"
"Customer Group:","Customer Group:"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Jobs","Customer Jobs"
"Customer Limit","Customer Limit"
"Customer Link","Customer Link"
"Customer Name","Customer Name"
"Customer Quotes","Customer Quotes"
"Customer saved successfully","Customer saved successfully"
"Customer Signup","Customer Signup"
"Customer Signup Form","Customer Signup Form"
"Customer Signup Form (BETA)","Customer Signup Form (BETA)"
"Customer Subscription","Customer Subscription"
"Customer Subscription Due","Customer Subscription Due"
"Customer Tickets","Customer Tickets"
"Customer Websites","Customer Websites"
"Customer:","Customer:"
"Customer: ","Customer: "
"Customer: %s","Customer: %s"
"Customer: <strong>Bobs Printing Service</strong>","Customer: <strong>Bobs Printing Service</strong>"
"Customer: <strong>Richards Roof Repairs</strong>","Customer: <strong>Richards Roof Repairs</strong>"
"Customers","Customers"
"customers","customers"
"d/m/Y","d/m/Y"
"Dashboard","Dashboard"
"Dashboard Finance Settings","Dashboard Finance Settings"
"Dashboard Summary","Dashboard Summary"
"Data deleted successfully","Data deleted successfully"
"Data feed","Data feed"
"Data Fields","Data Fields"
"Data Fieldset","Data Fieldset"
"Data fieldset deleted successfully","Data fieldset deleted successfully"
"Data fieldset saved successfully","Data fieldset saved successfully"
"Data Fieldsets","Data Fieldsets"
"Data format error!","Data format error!"
"Data saved successfully","Data saved successfully"
"Data Settings","Data Settings"
"Data Type","Data Type"
"Date","Date"
"Date Added","Date Added"
"Date Created","Date Created"
"Date/Time","Date/Time"
"Date:","Date:"
"Day","Day"
"Day Count","Day Count"
"Days","Days"
"days","days"
"DBS Bank Transfer","DBS Bank Transfer"
"Deals","Deals"
"Debit","Debit"
"Debug","Debug"
"Dec","Dec"
"December","December"
"Decrypted Value:","Decrypted Value:"
"Default","Default"
"Default (%s)","Default (%s)"
"Default Account","Default Account"
"Default Categories","Default Categories"
"Default Customer","Default Customer"
"Default Tax","Default Tax"
"Default Text","Default Text"
"Default Theme","Default Theme"
"Default Type","Default Type"
"Default Type/Department","Default Type/Department"
"Default User","Default User"
"Default will display the extra field when opening an item (eg: opening a customer). If a user can view the customer they will be able to view the extra field information when viewing the customer. Public In Column means that this extra field will also display in the overall listing (eg: customer listing). More options coming soon (eg: private)","Default will display the extra field when opening an item (eg: opening a customer). If a user can view the customer they will be able to view the extra field information when viewing the customer. Public In Column means that this extra field will also display in the overall listing (eg: customer listing). More options coming soon (eg: private)"
"del","del"
"Delete","Delete"
"Delete failed double-opt-in members","Delete failed double-opt-in members"
"Delete invoice item?","Delete invoice item?"
"Delete invoice payment?","Delete invoice payment?"
"Delete selected invoices","Delete selected invoices"
"Delete selected products","Delete selected products"
"Delete selected tickets","Delete selected tickets"
"Delete Send","Delete Send"
"Delete Task?","Delete Task?"
"Delete these members","Delete these members"
"deposit","deposit"
"Deposit for job: %s","Deposit for job: %s"
"Deposit from invoice %s","Deposit from invoice %s"
"Deposit Invoice","Deposit Invoice"
"Deposit Invoice: %s paid on %s","Deposit Invoice: %s paid on %s"
"Deposit:","Deposit:"
"Description","Description"
"Description to use instead of the automatically generated one from the Link page","Description to use instead of the automatically generated one from the Link page"
"Details","Details"
"Disabled & Hidden","Disabled & Hidden"
"Disabled & Shown","Disabled & Shown"
"Discount Amount","Discount Amount"
"Discount Name","Discount Name"
"Discount Type","Discount Type"
"Discount:","Discount:"
"Display Type","Display Type"
"Do you confirm to delete this event?","Do you confirm to delete this event?"
"Do you want to all repeat events or only this event? \r\nClick [OK] to delete only this event, click [Cancel] delete all events","Do you want to all repeat events or only this event? \r\nClick [OK] to delete only this event, click [Cancel] delete all events"
"Domain","Domain"
"Domain name","Domain name"
"Don't worry if you make a mistake, you can cancel or change this request later.","Don't worry if you make a mistake, you can cancel or change this request later."
"Done","Done"
"Done Date","Done Date"
"Download","Download"
"Drafts <span class='label label-info'>451</span> ","Drafts <span class='label label-info'>451</span> "
"Drafts <span class='label label-info'>452</span> ","Drafts <span class='label label-info'>452</span> "
"Drafts <span class='label label-info'>454</span> ","Drafts <span class='label label-info'>454</span> "
"Drafts <span class='label label-info'>455</span> ","Drafts <span class='label label-info'>455</span> "
"Drafts <span class='label label-info'>456</span> ","Drafts <span class='label label-info'>456</span> "
"Drafts <span class='label label-info'>457</span> ","Drafts <span class='label label-info'>457</span> "
"Drafts <span class='menu_label'>1</span> ","Drafts <span class='menu_label'>1</span> "
"Drafts <span class='menu_label'>451</span> ","Drafts <span class='menu_label'>451</span> "
"Drafts <span class='menu_label'>454</span> ","Drafts <span class='menu_label'>454</span> "
"Drafts <span class='menu_label'>455</span> ","Drafts <span class='menu_label'>455</span> "
"Drafts <span class='menu_label'>456</span> ","Drafts <span class='menu_label'>456</span> "
"Drafts <span class='menu_label'>457</span> ","Drafts <span class='menu_label'>457</span> "
"due","due"
"Due Date","Due Date"
"Due Date:","Due Date:"
"Due:","Due:"
"Due: ","Due: "
"Duplicate","Duplicate"
"Duplicates","Duplicates"
"Dynamic Fields:","Dynamic Fields:"
"e.g., meeting at room 107","e.g., meeting at room 107"
"Each Data Fieldset will contain a set of fields (eg: input or radio select boxes). Create a new fieldset to begin.","Each Data Fieldset will contain a set of fields (eg: input or radio select boxes). Create a new fieldset to begin."
"Edit","Edit"
"edit","edit"
"Edit Address","Edit Address"
"Edit Currency","Edit Currency"
"Edit details","Edit details"
"Edit Details","Edit Details"
"Edit Event","Edit Event"
"Edit Extra Default Field","Edit Extra Default Field"
"Edit FAQ","Edit FAQ"
"Edit FAQ Product","Edit FAQ Product"
