"Word","Translation"
"+ Add another","weitere hinzufügen"
"<a href=""%s"" class=""uibutton"">Start Sending Now</a><br/>Click the above button to start sending now (rather than wait for it to be processed in the background by the CRON job).","<a href=""%s"" class=""uibutton""> starten Senden Now </a> <br/> Klicken Sie auf die oben-Taste, um mit dem Senden jetzt (anstatt warten, bis es im Hintergrund durch den Cron-Job verarbeitet werden) ."
"<a href=""%s"" target=""_blank"">Click here</a> to see how to add a URL to your Google Calendar. You can choose which calendars to import below:","<a href=""%s"" target=""_blank""> Klicken Sie hier </a> zu sehen, wie eine URL zu Ihrem Google Kalender hinzuzufügen. Sie können wählen, welche Kalender unten zu importieren:"
"<em>New:</em> Please <a href=""%s"" target=""_blank"">click here</a> to view the HTML invoice (this HTML page can be ""Printed to PDF"" using <a href=""http://www.primopdf.com/"" target=""_blank"">PrimoPDF</a> for better results).","<em>New:</em> Please <a href=""%s"" target=""_blank"">click here</a> to view the HTML invoice (this HTML page can be ""Printed to PDF"" using <a href=""http://www.primopdf.com/"" target=""_blank"">PrimoPDF</a> for better results)."
"<p>This newsletter has already been sent out <strong>%s</strong> times:</p>%s<p>Please press the <strong>duplicate</strong> button at the bottom to create a new newsletter based on this newsletter. You can also re-send this newsletter to a new group of people below if you want.</p>","<p>This newsletter has already been sent out <strong>%s</strong> times:</p>%s<p>Please press the <strong>duplicate</strong> button at the bottom to create a new newsletter based on this newsletter. You can also re-send this newsletter to a new group of people below if you want.</p>"
"<strong>%s</strong> of %s changes remaining","<strong>%s</strong> of %s changes remaining"
"110 is normal, 995 is ssl","110 normal ist, 995 ssl"
"3. Describe the change you would like to make","3. Beschreiben Sie die Änderung, die Sie gerne machen würde"
"6000","6000"
"A comma separated list of currencies to support, eg: AUD,USD Leave this blank to support all currencies. If an invoice is in an unsupported currency then this payment method will not display.","A comma separated list of currencies to support, eg: AUD,USD Leave this blank to support all currencies. If an invoice is in an unsupported currency then this payment method will not display."
"A Credit Note has been generated against this cancelled invoice: ","A Credit Note has been generated against this cancelled invoice: "
"A Credit Note has been generated against this cancelled invoice: %s","Eine Gutschrift hat gegen diese abgesagt Rechnung generiert:%s"
"A staff member is someone who can be assigned to a Job, Job Task or Customer. ","A staff member is someone who can be assigned to a Job, Job Task or Customer. "
"Accepted Date","Accepted Date"
"Accepted:","Accepted:"
"Account","Konten"
"Account Name","Account Name"
"Account:","Konten"
"Action","Aktion"
"Active Timers","Aktive Timer"
"Add","Hinzufügen"
"Add all these results to a group:","Fügen Sie alle diese Ergebnisse zu einer Gruppe:"
"Add Attachment","Anhang hinzufügen"
"Add CC/BCC","Add CC/BCC"
"Add Comment","Kommentar hinzufügen"
"Add imported records to group:","Add imported records to group:"
"Add Item","Artikel hinzufügen"
"Add missing words from CSV into Database","Add missing words from CSV into Database"
"Add More Recipients","Add More Recipients"
"Add More Recipients (currently %s recipients): %s","Add More Recipients (currently %s recipients): %s"
"Add More Recipients (currently 4 recipients): unsub test 5","Add More Recipients (currently 4 recipients): unsub test 5"
"Add New","Hinzufügen"
"Add New Account","Neues Konto hinzufügen"
"Add New Contact","Add New Contact"
"Add New Facebook Account","Add New Facebook Account"
"Add New FAQ","Neuer FAQ"
"Add New Field","Neues Feld hinzufügen"
"Add New File","Neue Datei hinzufügen"
"Add New file","Neue Datei hinzufügen"
"Add New Item Version","Add New Item Version"
"Add New job","Neuer Job"
"Add New Job","Add New Job"
"Add New Language","Add New Language"
"Add New newsletter","Neuer Mitteilungsblatt"
"Add New Note","Neuer Hinweis"
"Add New Product","Neues Produkt"
"Add New Quote","Add New Quote"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New ticket","Neuer Ticket"
"Add New Ticket","Add New Ticket"
"Add New Twitter Account","Add New Twitter Account"
"Add New Type","Neuer Typ"
"Add new user","+ Neuen Nutzer hinzufügen"
"Add New Website","Add New Webseite"
"Add New WordPress Item","Neuer WordPress Artikel"
"Add payment","Fügen Zahlung"
"add success","add success"
"Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times).","Fügen Sie diesen Code auf jeder Seite Ihrer Kunden Website (zB: wie Google Analytics oder in WordPress-Theme footer.php Datei). Stellen Sie sicher, dass diese geladen wird AFTER jQuery geladen wird. (Fortgeschrittene Benutzer können diese public.js Datei Kunden-Website zu kopieren Ladezeiten zu verbessern)."
"Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times). <br><br> Or paste this code into the browser console for testing: <br><br>%s","Add this code to EVERY PAGE of your customers website (eg: Same as Google Analytics or in WordPress theme footer.php file). Make sure this is loaded AFTER jQuery is loaded. (Advanced users can copy this public.js file to clients website to improve load times). <br><br> Or paste this code into the browser console for testing: <br><br>%s"
"Add to group","Zur Gruppe hinzufügen"
"Add your own custom CSS code here and it will be included in all pages of the website. You may have to clear your browser cache in order to see these changes. This code is added to the ""ext.php?m=theme&amp;h=css"" file if you are looking at the page source code.","Add your own custom CSS code here and it will be included in all pages of the website. You may have to clear your browser cache in order to see these changes. This code is added to the ""ext.php?m=theme&amp;h=css"" file if you are looking at the page source code."
"Additional Fields","Zusätzliche Felder"
"Address","Adresse"
"Address:","Addresse:"
"Admin System","Admin System"
"Advanced","Erweitert"
"Advanced Configuration area below. This contains every configurable value in the system. Change at own risk :)","Advanced Configuration Bereich unten. Diese enthält alle konfigurierbaren Wert im System. Ändern Sie auf eigene Gefahr :)"
"after","danach"
"After printing is complete you can <a href=""%s"">click here</a> return to invoice %s","Nach dem Druck abgeschlossen ist, können <a href=""%s""> klicken Sie hier </a> Rückkehr in Rechnung%s"
"After Tax","nach Abzug der Steuern"
"Alert Item: %s","Alert Item: %s"
"Alerts","Hinweise"
"All","Alle"
"All Customer Contacts","All Customer Contacts"
"All Customer Notes","Alle Kunden Hinweise"
"All day event","All day event"
"All Day Event","All Day Event"
"All Lead Notes","All Lead Notes"
"All paid","All paid"
"All Permissions","Alle Berechtigungen"
"All sent","All geschickt"
"All Staff","Alle Mitarbeiter"
"All Time","Zu jeder Zeit"
"Allocated Customers","Zugeteilten Kunden"
"Allocated Members","Zugewiesene Mitglieder"
"Allow change requests. This SUPER COOL feature allows your customer to highlight something on their website and request a change. The ""change request"" will come through here and you can invoice for that change.","Lassen Change Requests. Das SUPER COOL-Funktion ermöglicht Ihren Kunden etwas auf ihrer Website zu markieren und fordern eine Änderung. Die ""Change Request"" kommen hier durch, und Sie können Rechnung für diese Veränderung."
"Allow Update of Existing Customer Entries","Lassen Aktualisierung der bestehenden Kunden-Einträge"
"Allowed","dürfen"
"Allowed Payments","Erlaubt Zahlungen"
"Also delete all Customer %s, Jobs, Invoices, Tickets and Files","Also delete all Customer %s, Jobs, Invoices, Tickets and Files"
"Also delete all Customer Websites, Jobs, Invoices, Tickets and Files","Also delete all Customer Websites, Jobs, Invoices, Tickets and Files"
"Always Create New Customer Entries","Erstellen Sie immer ein neuer Kunde Einträge"
"am","am"
"AM","AM"
"Amount","Betrag"
"Amount Billed","Rechnungsbetrag"
"Amount Due","Fälliger Betrag"
"Amount Invoiced","Rechnungsbetrag"
"Amount Invoiced for 05/26/2014 to 06/02/2014","Amount Invoiced for 05/26/2014 to 06/02/2014"
"Amount Invoiced for 06/09/2014 to 06/16/2014","Amount Invoiced for 06/09/2014 to 06/16/2014"
"Amount Invoiced for 06/16/2014 to 06/23/2014","Amount Invoiced for 06/16/2014 to 06/23/2014"
"Amount Invoiced for 30/01/2012 to 06/02/2012","Amount Invoiced for 30/01/2012 to 06/02/2012"
"Amount Only","Amount Only"
"Amount:","Amount:"
"Answer","Antwort"
"Apply","Anwenden"
"Apply %s credit to this invoice","Bewerben%s Gutschrift auf dieser Rechnung"
"Apply %s deposit to this invoice","Apply %s deposit to this invoice"
"Apply Previous Deposit","Apply Previous Deposit"
"Approval","Approval"
"Approve this Quote","Approve this Quote"
"Approved By","Approved By"
"Approved Date","Approved Date"
"Apr","Apr"
"April","April"
"Are You Sure to Delete this Event","Are You Sure to Delete this Event"
"Assign a staff member to this calendar event. Click the plus sign to add more staff members.","Assign a staff member to this calendar event. Click the plus sign to add more staff members."
"Assign a staff member to this customer. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these customers.","Assign a staff member to this customer. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these customers."
"Assign a staff member to this file. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these files.<br><br>If there are assigned staff members then those members will be the only ones to receive notifications when a change is made to the file. If no staff are assigned to this file then anyone with the ""Receive Alerts"" permission will receive file change/comment alerts.","Assign a staff member to this file. Staff members are users who have EDIT permissions on Job Tasks. Click the plus sign to add more staff members. You can apply the ""Only Assigned Staff"" permission in User Role settings to restrict staff members to these files.<br><br>If there are assigned staff members then those members will be the only ones to receive notifications when a change is made to the file. If no staff are assigned to this file then anyone with the ""Receive Alerts"" permission will receive file change/comment alerts."
"Assign a staff member to this job. You can also assign individual tasks to different staff members.","Vergeben Sie einen Mitarbeiter zu diesem Job. Sie können auch einzelne Aufgaben an verschiedene Mitarbeiter."
"Assign a staff member to this job. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Job Tasks.","Vergeben Sie einen Mitarbeiter zu diesem Job. Sie können auch einzelne Aufgaben an verschiedene Mitarbeiter. Mitarbeiter sind Benutzer, die Berechtigungen bearbeiten haben Job Tasks."
"Assign a staff member to this quote. You can also assign individual tasks to different staff members.","Assign a staff member to this quote. You can also assign individual tasks to different staff members."
"Assign a staff member to this quote. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Quote Tasks.","Assign a staff member to this quote. You can also assign individual tasks to different staff members. Staff members are users who have EDIT permissions on Quote Tasks."
"Assign Customer","Kunde zuordnen"
"Assign Quote","Assign Quote"
"Assign Website","Weisen Webseite"
"Assigned Contact","Assigned Kontakt"
"Assigned Jobs","Assigned Jobs"
"Assigned Staff","Assigned Staff"
"Assigned Tasks","Zugeordnete Aufgaben"
"Assigned User","Assigned User"
"Attachment","Attachment"
"Attachment:","Anhang:"
"Attachments will be sent out with emails. This will use a LOT of your bandwidth! (eg: a 1MB PDF sent to 1000 people = 1GB)","Anhänge werden mit E-Mails gesendet werden. Dies wird mit einem LOT Ihrer Bandbreite! (Z. B.: a 1MB PDF geschickt zu 1000 Personen = 1GB)"
"Attachments:","Anlagen:"
"Aug","Aug."
"August","August"
"Author:","Author:"
"Authorize","Authorize"
"Authorize Settings","Authorize Settings"
"Authorize setup instructions:","Authorize setup instructions:"
"Authorize.net","Authorize.net"
"Auto Login Link","Auto Login Link"
"Auto Overdue Email","Auto Overdue Email"
"Automatic","Automatisch"
"Automatic Email","Automatic Email"
"Automatic Invoice","Automatic Invoice"
"Automatic Invoice Renewal Pending","Automatic Invoice Renewal Pending"
"Automatic Job Renewal Pending","Automatic Job Renewal Pending"
"Automatic Renew","Automatic Renew"
"Automatically Email","Automatically Email"
"Automatically Invoice","Automatically Invoice"
"Automatically Renew","Automatically Renew"
"Automatically Renewing invoice for %s","Automatically Renewing invoice for %s"
"Automatically send the invoice receipt to the customer once the invoice is marked as paid. If this is disabled you will have to go into the invoice and manually send it after payment is received.","Automatically send the invoice receipt to the customer once the invoice is marked as paid. If this is disabled you will have to go into the invoice and manually send it after payment is received."
"Available to","Zur Verfügung"
"Back / Cancel","Back / Cancel"
"Back to Statistics","Zurück zur Statistik"
"Balance","Kontostand"
"Bank","Bank"
"Bank Transfer","Überweisung"
"Bank Transfer Settings","Banküberweisung Einstellungen"
"Bank Transfer Templates","Bank Transfer Templates"
"Basic System Settings","Basic System Settings"
"BCC:","BCC"
"Be sure to set the paypal IPN url to http://ultimateclientmanager.com/demo/ext.php?m=paymethod_paypal&h=ipn&method=paypal in your paypal account settings.","Be sure to set the paypal IPN url to http://ultimateclientmanager.com/demo/ext.php?m=paymethod_paypal&h=ipn&method=paypal in your paypal account settings."
"before","vorher"
"Before Tax","Vor Steuern"
"Both Accepted and Un-Accepted Quotes","Both Accepted and Un-Accepted Quotes"
"Both Completed and Non-Completed Jobs","Beide abgeschlossen und nicht erledigten Jobs"
"Bounce Checking","Bounce Überprüfung"
"Bounce Email","Bounce Email"
"Bounced","Indirektes"
"Bounces","Absprünge"
"Browser Preview","Browser-Vorschau"
"Building Name","Building Name"
"Building Number","Building Number"
"Bulk Actions","Sammel-Aktionen"
"Bulk actions:","Sammel-Aktionen"
"Business","Geschäftlich"
"Business Name","Firmenname"
"Calendar","Calendar"
"Calendar Event","Calendar Event"
"Can Login","Kann Einloggen"
"Cancel","Abbrechen"
"Cancel Date","Abbrechen Datum"
"Canceled","Storniert"
"Cancelled","Abgbrochen"
"Caption to use instead of the automatically generated one from the Link page","Caption to use instead of the automatically generated one from the Link page"
"carshop","carshop"
"Categories","Kategorien"
"Category","Category"
"Category Name","Category Name"
"Category:","Kategorie:"
"CC:","CC:"
"CEF","CEF"
"Change Assigned:","Change Assigned:"
"Change Customer","Kunden ändern"
"Change Password","Change Password"
"Change Request","Change Request"
"Change request","Ändern Anfrage"
"Change Request Settings","Change Request Settings"
"Change status %s to:","Change status %s to:"
"Change status to Resolved","Change status to Resolved"
"Change status:","Status ändern:"
"Change success","Change success"
"Change Ticket Status","Ändern Ticket Status"
"changes remaining","Änderungen bleiben"
"Changing a customer will also change all the current linked jobs and invoices across to this new customer.","Ändern eines Kunden ändern sich auch alle aktuellen verbunden Arbeitsplätze und Rechnungen über diese neuen Kunden."
"Changing some settings is disabled in DEMO mode.","Changing some settings is disabled in DEMO mode."
"Check for Updates","Nach Updates suchen"
"Check for Upgrades","Check for Upgrades"
"Check login","Prüfen Sie sich anmelden"
"Choose a different PDF library if you notice PDF generation is not working or is slow. mPDF is the better option but may not display some things correctly.","Choose a different PDF library if you notice PDF generation is not working or is slow. mPDF is the better option but may not display some things correctly."
"Choose a name for this account. This name will be shown here in the system.","Choose a name for this account. This name will be shown here in the system."
"Choose Passphrase:","Wählen Sie Passphrase:"
"Choose Template","Vorlage auswählen"
"Choose the default template for PDF printing and PDF emailing. Name your custom templates invoice_print_SOMETHING for them to appear in this listing.","Wählen Sie die Standard-Vorlage für PDF-Druck-und PDF-E-Mail. Benennen Sie Ihre benutzerdefinierten Vorlagen invoice_print_SOMETHING für sie in dieser Auflistung erscheinen."
"Click the ""record"" button once an transaction has been completed, this will schedule the next reminder.","Klicken Sie auf den ""Record""-Taste einmal eine Transaktion abgeschlossen wurde, wird dies planen die nächste Erinnerung."
"Click this button to email the invoice to the customer from the system","Klicken Sie auf diese Schaltfläche, um die Rechnung an den Kunden per E-Mail aus dem System"
"Click this link to check the application can login to envato currectly. You may need to enter recaptcha code.","Klicken Sie auf diesen Link, um zu überprüfen kann die Anwendung auf Envato currectly anmelden. Möglicherweise müssen Sie recaptcha Code eingeben."
"Click this link to delete the envato cache and statement history and perform a FULL refresh. (this may take a long time)","Klicken Sie auf diesen Link, um die Envato Cache und Verlustrechnung Verlauf zu löschen und eine vollständige Aktualisierung. (Dies kann lange dauern)"
"Click this link to refresh your item listing (if you have released a new item)","Klicken Sie auf diesen Link, um Ihren Artikel Liste zu aktualisieren (wenn Sie ein neues Element freigegeben)"
"Click to add a comment","Klicken Sie, um einen Kommentar hinzuzufügen"
"Click to the view of current date","Click to the view of current date"
"Click to view external link","Klicken Sie auf externe Links anzeigen"
"Clicks","Klicks"
"Clicks By","Klicks"
"Close","Schließen"
"Code","Code"
"Coinbase (bitcoin)","Coinbase (bitcoin)"
"Coinbase only supports subscriptions that are: daily, weekly, every_two_weeks, monthly, quarterly, and yearly. So your invoice/subscription renewals will have to match these in order to work.","Coinbase only supports subscriptions that are: daily, weekly, every_two_weeks, monthly, quarterly, and yearly. So your invoice/subscription renewals will have to match these in order to work."
"Coinbase Settings","Coinbase Settings"
"Coinbase setup instructions:","Coinbase setup instructions:"
"Combine transactions together. eg: an invoice payment history with corresponding bank statement transaction. Transactions need to be the same dollar amount to link successfully.","Kombinieren Transaktionen zusammen. zB: eine Rechnung Zahlung Geschichte mit entsprechenden Kontoauszug Transaktion. Transaktionen müssen die gleiche Dollar-Betrag, um erfolgreich zu verknüpfen."
"Company","Company"
"company deleted successfully","company deleted successfully"
"Company Details","Company Details"
"Company Name","Name des Unternehmens"
"Complete","Abgeschlossen"
"complete","complete"
"Completed","Abgeschlossen"
"Completed Date","Abschlussdatum"
"Completed:","Abgeschlossen"
"Completed?","Abgeschlossen"
"Compose","Compose"
"Compose Message","Compose Message"
"Compose Post","Compose Post"
"Compose Tweet","Compose Tweet"
"Configuration Key","Configuration Key"
"Configuration saved successfully","Configuration saved successfully"
"Configuration Value","Konfiguration Wert"
"Confirm Delete","Löschen bestätigen"
"Contact","Kontakt"
"Contact deleted successfully","Contact deleted successfully"
"Contact Details","Kontaktdaten"
"Contact Groups","Kontakt Gruppen"
"Contact Name, Email or Phone Number:","Contact Name, Email or Phone Number:"
"Contact Notes","Kontakt Hinweise"
"Contact:","Kontakt:"
"Contact: %s","Contact: %s"
"Contacts","Kontakte"
"Contacts <span class='label label-info'>1</span> ","Contacts <span class='label label-info'>1</span> "
"Contacts <span class='label label-info'>2</span> ","Contacts <span class='label label-info'>2</span> "
"Contacts <span class='label label-info'>3</span> ","Contacts <span class='label label-info'>3</span> "
"Contacts <span class='label label-info'>4</span> ","Contacts <span class='label label-info'>4</span> "
"Contacts <span class='menu_label'>1</span> ","Contacts <span class='menu_label'>1</span> "
"Contacts <span class='menu_label'>2</span> ","Contacts <span class='menu_label'>2</span> "
"Contacts <span class='menu_label'>3</span> ","Contacts <span class='menu_label'>3</span> "
"Contacts <span class='menu_label'>4</span> ","Contacts <span class='menu_label'>4</span> "
"Content Area Title","Content Area Title"
"Content Areas:","Content Areas:"
"Convert this Quote into a Job","Convert this Quote into a Job"
"Country","Country"
"County","County"
"Create","Create"
"Create %s Invoice","Erstellen%s Rechnung"
"Create a new customer and move this ""Assigned Contact"" to this new customer.","Einen neuen Kunden anlegen und verschieben Sie diese ""Assigned Kontakt"" auf diesen neuen Kunden."
"Create Date","Erstellungsdatum"
"Create Date:","Erstellungsdatum"
"Create Deposit Invoice","Erstellen Anzahlungsrechnung"
"Create event","Create event"
"Create Invoice","Rechnung erstellen"
"Create invoice for %s","Rechnung erstellen für %s"
"Create Linked Contacts","Create Linked Contacts"
"Create New","Neu erstellen"
"Create New Calendar Event","Create New Calendar Event"
"Create New carshop","Create New carshop"
"Create New Category","Create New Category"
"Create New CEF","Create New CEF"
"Create New Custom checking","Create New Custom checking"
"Create New Custom Data","Create New Custom Data"
"Create New Customer","Neuen Kunden anlegen"
"Create New Deals","Create New Deals"
"Create New Domain","Create New Domain"
"Create New Domain name","Create New Domain name"
"Create New Event","Create New Event"
"Create New Field","Create New Field"
"Create New Fieldset","Create New Fieldset"
"Create New File","Create New File"
"Create New Help","Create New Help"
"Create New I D document","Create New I D document"
"Create New Invoice","Create New Invoice"
"Create New Kitchen Type","Create New Kitchen Type"
"Create New landlords","Create New landlords"
"Create New Lead","Create New Lead"
"Create New Marketing","Create New Marketing"
"Create New Member","Neues Mitglied"
"Create New MyAssets","Create New MyAssets"
"Create New Package","Create New Package"
"Create New Product","Neues Produkt"
"Create New Product Management","Create New Product Management"
"Create New Quotes New","Create New Quotes New"
"Create New Reg","Create New Reg"
"Create New Size","Create New Size"
"Create New Subscription","Neues Abonnement"
"Create New Vault","Create New Vault"
"Create New VC Membership Number","Create New VC Membership Number"
"Create New zenon","Create New zenon"
"Create Newsletter","Neues Mitteilungsblatt"
"Create transaction","Erstellen Transaktion"
"Created by:","Erstellt von"
"Created Date","Erstellungsdatum"
"Created on:","Erstellt am:"
"Created successfully!","Erfolgreich erstellt!"
"Creator","Creator"
"Credit","Bonitätsprüfung"
"Credit Card","Credit Card"
"Credit from customer %s","Kreditkarten von Kunden%s"
"Credit Note #","Gutschrift #"
"Credit Note items","Gutschrift Artikel"
"Credit Note Notes","Gutschrift Hinweise"
"Credit: %s","Credit: %s"
"CRON Job Not Setup","CRON Job nicht eingerichtet"
"CSS Property","CSS-Eigenschaft"
"Currency","Währung"
"Currency deleted successfully","Currency deleted successfully"
"Currency saved successfully","Currency saved successfully"
"Current server time is %s","Current server time is %s"
"Current status","Aktueller Status:"
"CURRENTLY SENDING","CURRENTLY SENDING"
"Currently sending (waiting from CRON job)","Currently sending (waiting from CRON job)"
"Currently: %s","Currently: %s"
"Custom checking","Custom checking"
"Custom Data","Custom Data"
"Customer","Kunde"
"Customer Change Requests","Kunden Change Requests"
"Customer Contact: ","Customer Contact: "
"Customer Contacts","Customer Contacts"
"Customer Count","Kunden Count"
"Customer Credit Available","Customer Credit verfügbar"
"Customer deleted successfully","Customer deleted successfully"
"Customer Emails","Customer Emails"
"Customer files","Dateien des Kunden"
"Customer Files","Customer Files"
"Customer Group:","Kundengruppe"
"Customer Groups","Kundengruppen"
"Customer Information","Benutzerinformationen"
"Customer Jobs","Kunden Jobs"
"Customer Limit","Kunden Grenzwert"
"Customer Link","Customer Link"
"Customer Name","Kundenname"
"Customer Quotes","Customer Quotes"
"Customer saved successfully","Customer saved successfully"
"Customer Signup","Kunde anmelden"
"Customer Signup Form","Customer Signup Form"
"Customer Signup Form (BETA)","Kunden Anmeldeformular (BETA)"
"Customer Subscription","Kunden Anmeldung"
"Customer Subscription Due","Kunden Abonnement Aufgrund"
"Customer Tickets","Kunden Tickets"
"Customer Websites","Kunden-Websites"
"Customer:","Kunde"
"Customer: ","Customer: "
"Customer: %s","Kunde:%s"
"Customer: <strong>Bobs Printing Service</strong>","Customer: <strong>Bobs Printing Service</strong>"
"Customer: <strong>Richards Roof Repairs</strong>","Customer: <strong>Richards Roof Repairs</strong>"
"Customers","Kunden"
"customers","customers"
"d/m/Y","d/m/Y"
"Dashboard","Übersicht"
"Dashboard Finance Settings","Dashboard-Finance-Einstellungen"
"Dashboard Summary","Übersicht Zusammenfassung"
"Data deleted successfully","Data deleted successfully"
"Data feed","Data feed"
"Data Fields","Data Fields"
"Data Fieldset","Data Fieldset"
"Data fieldset deleted successfully","Data fieldset deleted successfully"
"Data fieldset saved successfully","Data fieldset saved successfully"
"Data Fieldsets","Data Fieldsets"
"Data format error!","Data format error!"
"Data saved successfully","Data saved successfully"
"Data Settings","Data Settings"
"Data Type","Data Type"
"Date","Datum"
"Date Added","Datum hinzugefügt"
"Date Created","Date Created"
"Date:","Datum:"
"Date/Time","Datum und Uhrzeit"
"Day","Tag:"
"Day Count","Day Count"
"Days","Tage"
"days","days"
"DBS Bank Transfer","DBS Bank Transfer"
"Deals","Deals"
"Debit","Geldkarte"
"Debug","Debug"
"Dec","Dez."
"December","Dezember"
"Decrypted Value:","Entschlüsselten Wert:"
"Default","Standard"
"Default (%s)","Default (%s)"
"Default Account","Standardkonto"
"Default Categories","Standard Kategorien"
"Default Customer","Standard Kundendienst"
"Default Tax","Standard Tax"
"Default Text","Standardmäßiger Anzeigentext:"
"Default Theme","Standard-Theme"
"Default Type","Standard Typ"
"Default Type/Department","Standard Typ / Abteilung"
"Default User","Default User"
